family,kernel,eff_rank,kta_ood,kta_survival,n
classical_ext,matern25_med_x10,1.0886167908960656,0.05058084510758726,-0.0324852654912417,425
classical_ext,matern15_med_x10,1.134093749294537,0.056466994450239595,-0.03149840341738373,425
classical_ext,linear,1.1956643797192135,0.05511246416834069,-0.027687113846883448,425
classical_ext,poly2,1.294129353031981,0.059132829598016065,-0.027086964812960867,425
classical_ext,poly3,1.423933501287868,0.062238400494119946,-0.02589347256615141,425
classical_ext,matern25_med_x3,1.7205595233625046,0.06822386046645865,-0.026345700122715296,425
classical_ext,laplacian_med_x10,1.9081376387103595,0.09200739525629899,-0.01882781116832338,425
classical_ext,matern15_med_x3,1.9963259420441235,0.07451031135781845,-0.02404721166344744,425
classical_ext,rbf_gscale,2.9177952260975606,0.07458441743378329,-0.02399187736456946,425
classical_ext,laplacian_med_x3,4.763627854971648,0.10323190642814403,-0.008854269818258691,425
classical_ext,matern25_med,6.655290864284169,0.09531353713115956,-0.010999222755669504,425
classical_ext,matern15_med,8.031150561829701,0.10033443979970708,-0.006616664893529054,425
quantum,pauli_xz_r1_full,11.634226921069693,0.09869952625935068,-0.005440120966448356,425
quantum,zmap_r2,13.52708573809526,0.10840902294677245,-0.0026274993937135814,425
classical_ext,laplacian_med,18.4158614679792,0.1195939642236595,0.008813637359874083,425
classical_ext,matern25_med_x0.3,34.57399578436689,0.12342530769730169,0.03148093637181854,425
classical_ext,matern15_med_x0.3,39.18681163679439,0.12542232255934826,0.03212497530957669,425
quantum,zz_r1_full,57.06201680213788,0.12662568641832486,0.037656748020857604,425
classical_ext,laplacian_med_x0.3,76.45593443122466,0.1329878984558507,0.03543110885990191,425
quantum,zz_r2_full,86.57804700702991,0.1267461571598665,0.04216639190808879,425
classical_ext,matern25_med_x0.1,102.38583911158604,0.13458767131301735,0.0454153753618782,425
classical_ext,matern15_med_x0.1,115.96260112692006,0.13498090348108438,0.04484877959794649,425
classical_ext,laplacian_med_x0.1,200.42469165231594,0.13616703330980504,0.044411671421080066,425
