group,scope,n_units,median_rho_ktaA_svc,median_rho_rank_svc,median_rho_ktaA_gpc,median_rho_rank_gpc,fracpos_rho_ktaA_svc,fracpos_rho_rank_svc,fracpos_rho_ktaA_gpc,fracpos_rho_rank_gpc
ember_m1,all,225,0.5922566618516668,0.6181818181818182,0.5727272727272729,0.5454545454545455,0.9111111111111111,0.9066666666666666,0.88,0.8977777777777778
ember_m1,classical,225,0.7748062179181807,0.8214285714285715,0.7748062179181807,0.7857142857142859,0.9555555555555556,0.9377777777777778,0.9111111111111111,0.92
ember_m1,quantum,225,0.316227766016838,0.0,0.19999999999999998,0.19999999999999998,0.56,0.48444444444444446,0.5511111111111111,0.5333333333333333
ember_m2,all,225,0.779045301358731,0.8974966337290643,0.7363636363636363,0.849323922857635,0.9733333333333334,1.0,0.96,1.0
ember_m2,classical,225,0.8571428571428573,0.8928571428571429,0.8571428571428573,0.8928571428571429,0.9644444444444444,0.9911111111111112,0.9688888888888889,0.9822222222222222
ember_m2,quantum,225,0.19999999999999998,0.7999999999999999,0.19999999999999998,0.7999999999999999,0.5733333333333334,0.8711111111111111,0.5377777777777778,0.76
toniot_scanning_m2_centroid,all,225,0.8485817044285772,0.8966109552498207,0.8552289111613675,0.926644502314687,1.0,1.0,1.0,1.0
toniot_scanning_m2_centroid,classical,225,0.8894991799933215,0.9265616458263766,0.9258200997725515,0.9265616458263766,0.9866666666666667,0.9911111111111112,0.9733333333333334,0.9733333333333334
toniot_scanning_m2_centroid,quantum,225,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.8133333333333334,0.72,0.7333333333333333,0.8666666666666667
toniot_scanning_natural_cur,all,225,0.505335172300164,0.7838012819078117,0.40368671387966554,0.9,0.84,0.9644444444444444,0.8888888888888888,0.9955555555555555
toniot_scanning_natural_cur,classical,225,0.8794653965640158,0.9063269671749657,0.9636241116594316,0.981980506061966,0.8355555555555556,0.9377777777777778,0.9911111111111112,0.9955555555555555
toniot_scanning_natural_cur,quantum,225,0.39999999999999997,-0.316227766016838,0.39999999999999997,0.2581988897471611,0.8533333333333334,0.3466666666666667,0.6888888888888889,0.5244444444444445
unsw_dos_m2_centroid,all,225,0.7494747984908757,0.3698668696315507,0.9272727272727275,0.6636363636363638,1.0,0.9688888888888889,1.0,1.0
unsw_dos_m2_centroid,classical,225,0.9063269671749657,0.9063269671749657,0.9642857142857145,0.9910312089651149,1.0,1.0,1.0,1.0
unsw_dos_m2_centroid,quantum,225,0.7999999999999999,-0.7999999999999999,0.7999999999999999,-0.7999999999999999,0.9155555555555556,0.02666666666666667,0.92,0.0044444444444444444
unsw_dos_natural_cur,all,225,0.37813309948991036,0.9066082746806284,0.3789993849310952,0.8454545454545455,0.9333333333333333,1.0,0.9244444444444444,1.0
unsw_dos_natural_cur,classical,225,0.7412493166611013,0.8420413371357598,0.6306562238868914,0.6300619191619361,0.9333333333333333,0.9733333333333334,0.8533333333333334,0.8088888888888889
unsw_dos_natural_cur,quantum,225,-0.6000000000000001,0.7999999999999999,-0.39999999999999997,0.39999999999999997,0.18222222222222223,0.8177777777777778,0.28444444444444444,0.7644444444444445
unsw_recon_m2_centroid,all,225,0.6970405327946539,0.28181818181818186,0.9272727272727275,0.6423706870852693,1.0,0.9644444444444444,1.0,1.0
unsw_recon_m2_centroid,classical,225,0.900937462695559,0.8928571428571429,0.9642857142857145,0.9910312089651149,1.0,1.0,1.0,1.0
unsw_recon_m2_centroid,quantum,225,0.7999999999999999,-0.9486832980505139,0.7999999999999999,-0.9486832980505139,0.9155555555555556,0.008888888888888889,0.9555555555555556,0.0
unsw_recon_natural_cur,all,225,0.3143516128289616,0.2961283309258334,0.3727272727272728,0.26363636363636367,0.7822222222222223,0.72,0.7955555555555556,0.6711111111111111
unsw_recon_natural_cur,classical,225,0.18355577455358812,0.18531232916527532,0.23424374030084535,-0.14285714285714288,0.68,0.68,0.6444444444444445,0.38222222222222224
unsw_recon_natural_cur,quantum,225,0.0,0.39999999999999997,-0.19999999999999998,-0.19999999999999998,0.4266666666666667,0.5377777777777778,0.43555555555555553,0.40444444444444444
