variant_name,master_seed,size_tag,cfg_classical,dim_classical,n_runs_classical,drop_bal_acc_mean_classical,drop_bal_acc_std_classical,cfg_quantum,dim_quantum,n_runs_quantum,drop_bal_acc_mean_quantum,drop_bal_acc_std_quantum,delta_drop_bal_acc_mean,effect_drop_bal_acc_mean,winner_drop_bal_acc_mean
m1_hist_byteent,42,size_q1000_id500_ood500,linear,6,15,-0.0263,0.0217,pauli_xz_r1_full__d12,12,15,-0.0112,0.0304,0.0152,0.4066,classical
m1_hist_byteent,42,size_q2000_id1000_ood1000,linear,4,15,-0.0442,0.0275,zz_r2_full__d4,4,15,0.0058,0.0354,0.0499,1.1139,classical
m1_hist_byteent,42,size_q4000_id1800_ood1800,linear,4,15,-0.0364,0.0246,zmap_r2__d4,4,15,-0.0099,0.0113,0.0265,0.9808,classical
m1_hist_byteent,123,size_q1000_id500_ood500,linear,6,15,-0.0217,0.023,zz_r1_full__d4,4,15,-0.0047,0.021,0.017,0.5458,classical
m1_hist_byteent,123,size_q2000_id1000_ood1000,linear,6,15,-0.0313,0.0221,pauli_xz_r1_full__d6,6,15,-0.0094,0.0167,0.0218,0.7885,classical
m1_hist_byteent,123,size_q4000_id1800_ood1800,linear,4,15,-0.0492,0.0201,zmap_r2__d6,6,15,-0.0146,0.0106,0.0346,1.521,classical
m1_hist_byteent,999,size_q1000_id500_ood500,linear,6,15,-0.0361,0.0319,zmap_r2__d4,4,15,-0.0266,0.0223,0.0095,0.2447,classical
m1_hist_byteent,999,size_q2000_id1000_ood1000,rbf_gscale,12,15,-0.0308,0.0166,zmap_r2__d6,6,15,-0.0162,0.0137,0.0146,0.6759,classical
m1_hist_byteent,999,size_q4000_id1800_ood1800,rbf_gscale,12,15,-0.0407,0.0119,pauli_xz_r1_full__d4,4,15,-0.0191,0.015,0.0216,1.1257,classical
m2_hist_byteent,42,size_q1000_id500_ood500,linear,8,15,-0.0724,0.0409,pauli_xz_r1_full__d8,8,15,0.0478,0.0355,0.1203,2.2221,classical
m2_hist_byteent,42,size_q2000_id1000_ood1000,linear,12,15,-0.077,0.0155,pauli_xz_r1_full__d10,10,15,0.0562,0.0159,0.1332,6.0152,classical
m2_hist_byteent,42,size_q4000_id1800_ood1800,linear,12,15,-0.0678,0.0297,pauli_xz_r1_full__d8,8,15,0.0324,0.0263,0.1002,2.5257,classical
m2_hist_byteent,123,size_q1000_id500_ood500,rbf_gscale,8,15,-0.0374,0.0141,pauli_xz_r1_full__d6,6,15,-0.0395,0.0167,-0.0021,-0.094,quantum
m2_hist_byteent,123,size_q2000_id1000_ood1000,rbf_gscale,12,15,-0.0318,0.0184,pauli_xz_r1_full__d6,6,15,-0.0373,0.008,-0.0055,-0.2765,quantum
m2_hist_byteent,123,size_q4000_id1800_ood1800,rbf_gscale,12,15,-0.0343,0.0202,zmap_r2__d10,10,15,-0.018,0.0084,0.0163,0.7443,classical
m2_hist_byteent,999,size_q1000_id500_ood500,rbf_gscale,10,15,-0.0038,0.0245,pauli_xz_r1_full__d6,6,15,-0.0196,0.018,-0.0158,-0.5201,quantum
m2_hist_byteent,999,size_q2000_id1000_ood1000,rbf_gscale,12,15,-0.023,0.0399,pauli_xz_r1_full__d12,12,15,-0.0349,0.026,-0.0119,-0.2499,quantum
m2_hist_byteent,999,size_q4000_id1800_ood1800,rbf_gscale,12,15,-0.0092,0.0319,pauli_xz_r1_full__d12,12,15,-0.0299,0.0082,-0.0206,-0.6263,quantum
