case,axis,a,b,part,n_a,n_b,n_shared,frac_of_smaller
ember_m1,size,1000,2000,train,1000,2000,5,0.005
ember_m1,size,1000,2000,id_test,500,1000,3,0.006
ember_m1,size,1000,2000,ood_test,500,1000,7,0.014
ember_m1,size,1000,4000,train,1000,4000,17,0.017
ember_m1,size,1000,4000,id_test,500,1800,15,0.03
ember_m1,size,1000,4000,ood_test,500,1800,11,0.022
ember_m1,size,2000,4000,train,2000,4000,19,0.0095
ember_m1,size,2000,4000,id_test,1000,1800,28,0.028
ember_m1,size,2000,4000,ood_test,1000,1800,16,0.016
ember_m2,size,1000,2000,train,1000,2000,5,0.005
ember_m2,size,1000,2000,id_test,500,1000,3,0.006
ember_m2,size,1000,2000,ood_test,500,1000,7,0.014
ember_m2,size,1000,4000,train,1000,4000,17,0.017
ember_m2,size,1000,4000,id_test,500,1800,15,0.03
ember_m2,size,1000,4000,ood_test,500,1800,11,0.022
ember_m2,size,2000,4000,train,2000,4000,19,0.0095
ember_m2,size,2000,4000,id_test,1000,1800,28,0.028
ember_m2,size,2000,4000,ood_test,1000,1800,16,0.016
unsw_dos_natural,size,1000,2000,train,1000,2000,27,0.027
unsw_dos_natural,size,1000,2000,id_test,500,1000,12,0.024
unsw_dos_natural,size,1000,2000,ood_test,500,1000,67,0.134
unsw_dos_natural,size,1000,4000,train,1000,4000,54,0.054
unsw_dos_natural,size,1000,4000,id_test,500,1800,13,0.026
unsw_dos_natural,size,1000,4000,ood_test,500,1800,126,0.252
unsw_dos_natural,size,2000,4000,train,2000,4000,2000,1.0
unsw_dos_natural,size,2000,4000,id_test,1000,1800,32,0.032
unsw_dos_natural,size,2000,4000,ood_test,1000,1800,218,0.218
