group,model,n_classical,n_quantum,budget,budget_class
ember_m1,svc,115,60,60,full
ember_m2,svc,115,60,60,full
toniot_scanning_m2_centroid,svc,35,20,20,reduced
toniot_scanning_natural_cur,svc,115,60,60,full
unsw_dos_m2_centroid,svc,35,20,20,reduced
unsw_dos_natural_cur,svc,115,60,60,full
unsw_recon_m2_centroid,svc,35,20,20,reduced
unsw_recon_natural_cur,svc,115,60,60,full
ember_m1,gpc,115,60,60,full
ember_m2,gpc,115,60,60,full
toniot_scanning_m2_centroid,gpc,35,20,20,reduced
toniot_scanning_natural_cur,gpc,115,60,60,full
unsw_dos_m2_centroid,gpc,35,20,20,reduced
unsw_dos_natural_cur,gpc,115,60,60,full
unsw_recon_m2_centroid,gpc,35,20,20,reduced
unsw_recon_natural_cur,gpc,115,60,60,full
