group,scope,n_units,median_rho_spec_train_eff_rank,median_rho_kta_ood,median_rho_kta_survival,fracpos_rho_spec_train_eff_rank,fracpos_rho_kta_ood,fracpos_rho_kta_survival,median_partial_eff_rank,median_partial_kta_ood
ember_m1,all,675,0.3221288515406162,0.30100147142937217,0.17116044582907994,0.6814814814814815,0.682962962962963,0.6711111111111111,0.35716004375851274,0.2946419075737182
ember_m1,classical,675,0.4011857707509882,0.366600790513834,0.2272727272727273,0.6844444444444444,0.6607407407407407,0.6459259259259259,,
ember_m1,quantum,675,0.15384615384615385,0.2447552447552448,0.2027972027972028,0.6074074074074074,0.674074074074074,0.6503703703703704,,
ember_m2,all,675,0.7988795518207282,0.6268907563025211,0.6070028011204481,0.9733333333333334,0.8311111111111111,0.8948148148148148,0.8231312491927041,0.626089130112321
ember_m2,classical,675,0.8568605570443169,0.7353595480238272,0.6956521739130435,0.9792592592592593,0.8622222222222222,0.9111111111111111,,
ember_m2,quantum,675,0.7622377622377624,0.2937062937062937,0.44755244755244755,0.9111111111111111,0.6637037037037037,0.7511111111111111,,
toniot_scanning_m2_centroid,all,675,0.6484189500722808,0.5930985994873096,0.6493344271319877,0.9866666666666667,1.0,0.9911111111111112,0.6273483210754793,0.5364086826592981
toniot_scanning_m2_centroid,classical,675,0.721330396370726,0.7721207072840234,0.8212613649146485,1.0,1.0,1.0,,
toniot_scanning_m2_centroid,quantum,675,0.28721585201872196,0.1366026613259775,0.23117373455165427,0.6725925925925926,0.6103703703703703,0.6681481481481482,,
toniot_scanning_natural_cur,all,675,0.25056101012654186,0.46039507478531344,0.40845398636346186,0.7451851851851852,0.9496296296296296,0.8355555555555556,0.27370574699131506,0.4465787705007548
toniot_scanning_natural_cur,classical,675,0.5903930932331509,0.603075014506275,0.6037549407114625,0.92,0.922962962962963,0.9185185185185185,,
toniot_scanning_natural_cur,quantum,675,-0.29824744997456415,0.34965034965034975,0.18881118881118883,0.2311111111111111,0.84,0.6725925925925926,,
unsw_dos_m2_centroid,all,675,-0.14188668709071847,0.3871419576690483,0.04593837535014006,0.3288888888888889,0.8903703703703704,0.5466666666666666,-0.07698207660584633,0.45112109069721557
unsw_dos_m2_centroid,classical,675,0.29935708389657717,0.4493327291428792,0.34317123053534787,0.7570370370370371,0.8207407407407408,0.7407407407407407,,
unsw_dos_m2_centroid,quantum,675,-0.7902097902097903,0.6153846153846154,-0.04195804195804196,0.0044444444444444444,0.9333333333333333,0.4311111111111111,,
unsw_dos_natural_cur,all,675,0.44318344954949174,0.6389355742296919,0.3919316469323489,0.9911111111111112,0.9955555555555555,0.9777777777777777,0.410669365156368,0.6356437497656875
unsw_dos_natural_cur,classical,675,0.6996544076524962,0.7529644268774704,0.49567582437358787,1.0,1.0,0.9777777777777777,,
unsw_dos_natural_cur,quantum,675,-0.37894970114415205,0.44755244755244755,0.18181818181818185,0.277037037037037,0.8059259259259259,0.6918518518518518,,
unsw_recon_m2_centroid,all,675,-0.14890040768015972,0.3686532679395568,-0.005610497703928805,0.31703703703703706,0.8888888888888888,0.4948148148148148,-0.07521468797177742,0.4463466143749459
unsw_recon_m2_centroid,classical,675,0.2658102766798419,0.42786561264822137,0.32302770188613744,0.7288888888888889,0.8148148148148148,0.7348148148148148,,
unsw_recon_m2_centroid,quantum,675,-0.8041958041958043,0.6293706293706295,-0.013986013986013986,0.0,0.9333333333333333,0.48444444444444446,,
unsw_recon_natural_cur,all,675,0.05548550301030626,0.22436974789915967,-0.325956019446596,0.5866666666666667,0.7392592592592593,0.15555555555555556,0.055772305083501804,0.20889906188511306
unsw_recon_natural_cur,classical,675,0.4727994399878075,0.39960454760475783,-0.29522269946646323,0.9066666666666666,0.8148148148148148,0.15703703703703703,,
unsw_recon_natural_cur,quantum,675,-0.6783216783216784,0.013986013986013986,-0.5594405594405596,0.12444444444444444,0.5125925925925926,0.1451851851851852,,
